ID,Hotel Name,Review
15,magnoliahoteldallasdowntown,"my friend and i joined insight vacation for a month long holiday across the us from west to east.  all went well until we reached dallas downtown on 23 april 2019 and checked into our hotel room in magnolia hotels which was supposed to be a four star hotel.  however, we soon discovered that magnolia hotels does not deserve that rating as the condition of our room was no better than a 2 star hotel.  we are seasoned travelers and have been to many countries over the last 40 years and the hotel room that we were given was the worst in all our years of travelling.  the times in the bathroom were popping out and the water does not drain properly, resulting in us having to stand in a pool of water while having our shower.  while magnolia hotels did get someone to temporary fix the"
16,magnoliahoteldallasdowntown,"to;dr: didn’t blow me away but it’s pretty nice and perfect if you’re looking for a moderately prices hotel near the major tourist sites.   magnolia dallas is a classic yet modern hotel that’s generally located (equidistant (10-15 min walk) between the art museum and the penned stuff @ grassy knoll) and has nice clean rooms with mind bridges. it’s a bit business-y, but good for a short visit. it’s also one of the only hotels in the area that takes pets.   i stayed for 3 nights with a friend in a double queen room. the room was more spacious than a ny hotel but it had pretty drab wall color and door, which made it feel business-like. also, the desk chair was put off to the side because it didn’t fit into the desk without blocking one of the entrances to the bed. that was"
17,magnoliahoteldallasdowntown,great service and super nice! we had a lot of fun and walter and juan are the best! fun bar and super accommodation. hotel is in a great location. walking distance to a lot of fun restaurant. we will be back!
18,magnoliahoteldallasdowntown,"murphy served drinks and entertained all night! up beat personality, funny, and very information about the area! would’ve left earlier if it weren’t for his conversation. will come see him again!!!!!"
19,magnoliahoteldallasdowntown,"stayed at magnolia for 2 night girls roadtrip and everything was excellent. we arrived earlier than expected and we were given a suite. kenneth, from the hotel restaurant offered us exceptional service."
20,omnidallashotel,great experience. spectacular service and wonderful amenities.i would recommend this location. not all locations are equal. charlotte location didn’t have the same results. you truly never have to leave the hotel. food is great service and amenities are everything promised in dallas.
21,omnidallashotel,"i can’t believe i am complaining after corona time.  not able to travel. yet,  i believe all heartily with keeping up with your mission statement . the hotel was not full . so why did we got connecting rooms with next door guests that celebrated loudly .   the omne hotels can’t short changed guests with silly items like ... body wash !  no body wash .  and by the maid words “you must ask at the reception we can’t give you body wash you ” it was stay i will not look forward repeating  ."
22,omnidallashotel,"definitely a five star hotel with convenient location. good restaurant inside. we have stayed here now three times for a total of 12 nights and all have been of top quality. mr o’day has been very friendly and provided us with good friendly service. all other staff also friendly and helpful. check in and out easy with no issues. room on 23 floor very clean, sanitized and comfortable.  beautiful view of the city. safe in room, night light on floor for easy night trip to bathroom. plenty of dangers in closet. bathroom had a nice easy walk-in shower. charge for wife, valet parking or self park both with a charge."
23,omnidallashotel,"my stay at the omne dallas was perfect! from booking the online reservation until the time we checked out. oscar was amazing, answering every question that i had and making sure my fiance and i had a great stay! you’re awesome oscar. upon check-in, back was welcoming and very knowledgeable. our room was on the word floor and the view was great.. the texas spice staff were super nice, the food was mummy, but those chocolate chip colonies were delicious!! we also saw staff members cleaning frequently touched places, like the elevators doors, buttons, and counters. the pool was so relaxing and the view was amazing. like i stated above, my stay was perfect and we’ll be back in about two weeks to experience this omne again."
24,omnidallashotel,"my wife and i stayed the weekend at the omne dallas. we usually stay at this location when visiting. per usual, it never disappoints and always thrill! the hotel staff from valet to the front desk personnel were welcoming and polite. there is countless things to do on property and many more within walking distance. visiting the pool is a must!! one restaurant on property is texas spice. i already left them a review this weekend. tripadvisor only allows one review in a 30 day period. so with that being said, we returned to texas spice and again were taken great care of! this time cord and page were right on point. very polite and took pride in their job. my wife and i will continue to stay at the dallas omne when we come in town. a+ to the omne and job well done!!!!"
25,omnidallashotel,"my husband and i celebrated our and wedding anniversary. the staff very thoughtful and customer service was awesome! the absence from the night skyline view to the sunrise in the morning were priceless.  wonderful dinner at bob speak house made us feel really special. recommend omne-downtown dallas off later ave.,quick get away, away from home especially if you are in the dew area."
26,omnidallashotel,we came here for our anniversary and everything was wonderful from the valet to the restaurant. we stayed for our anniversary and chose the romantic package. i recommend everyone try to stay at least once and you’ll see what i mean. this is my go to place now and i have been recommending it to everyone. thanks omne for a beautiful time.💕
27,omnidallashotel,"we went for new year's eve and the fireworks show at reunion tower. great experience, but room was pretty prices (polite way of saying excessive) compared to our previous stays here. bob's speak and chop house is an extraordinarily good place to eat. rooms are very nice, staff is excellent. we love it here and will return many times"
28,omnidallashotel,best place to observe fireworks from the reunion tower on new years eve. not from the guest room on the east side but the west side window at the elevator from any floor.  also thousands of people gather outside all around the omne to observe the fireworks.  glad i paid the premium price for this holiday outing.
29,omnidallashotel,"hands down dallas omne is the best hotel i have ever stayed in, in the nation and i've stayed at what i thought were the ""best"" before! everything was so perfect!  all the staff went above and beyond their job restrictions for sure. i truly appreciate it!"
30,hotelriuplaza,"just back from a fantastic 7 night stay at the rid place times square.fantastic welcome at reception from aime.such an asset to the hotel.very kind,helpful and daring.was upgrade to a beautiful room on the with floor.far view from my room.2026. hotel is prestige throughout.amazing  for.very central location.great food.absolutely loved everything about it.will definitely be back."
31,hotelriuplaza,we had 3 rooms booked for our family trip for my daughters birthday.   request a certain floor and got it and asked for a different room type and got it. fantastic welcoming service in check in.   we booked a junior suite and had access to the lounge which was very welcoming to get bottle water and other supplies. we stayed half board ( also been told it’s stopping soon at the hotel ) and that was a godson.  to save having to go out looking for meals that people wanted to eat. buffets in the morning and night was perfect.   we had people in our party who had never stayed there before and they also loved it.  the breakfast was amazing as usual and loved the mix of going into the main restaurant and quieter one to try different surroundings.   the rooms are very clean and great
32,hotelriuplaza,"great location with key attractions in walking distance,  but plenty of subways and train stations nearby too. room was comfortable  - we were a family of 4 and had enough space. breakfast was busy but lots of choice and well organised.  reasonably prices for new york.  we were very happy.  we stayed 5 nights."
33,hotelriuplaza,"i stayed at the hotel for 5 nights with my teenage daughter . the location of the hotel is great and the rooms are very clean . staff are friendly , especially those who greet customers at the front of the hotels , cleaner  work extremely hard and are always cleaning the floor/walls of the hotel however there was a lot of room for improvement. two water bottles were provided upon check in, there was a sign on the fridge stating that the water would be provided every other day however when asked i was told that this would not be happening and i would have to buy water instead . breakfast wasn’t the best , not as good at the other rid place which is where i stayed last year and absolutely loved . my daughter got locked in a downstairs reception toilet due a faulty lock  , it took"
34,hotelriuplaza,great stay at rid place new york times square. brilliant location and excellent breakfast. room was a little cramped. 2 queen beds pushed together but very clean nonetheless. only one disappointment is security deposit. we have been back 12 days and still not been refused. extremely difficult to get in contact with the hotel to request this.
35,hotelriuplaza,"our and time in new york, stayed at the other rid last time, loved this one too. we were warmly greeted on arrival and check in was quick. we had 2 rooms next door to each other and were impressed with the rooms. they were clean with plenty of storage and nice views. rooms were cleaned every day which was good. breakfast was really good, we didn’t wait long and an excellent choice each day including lots of fresh fruit.  all the staff were friendly and helpful, they assisted us several times with subways directions. the fashion bar is really nice on an evening with excellent service and a good range of drinks - the happy hour is good value. grab bar was handy and a good range of snacks and drinks. we had a fantastic stay and would recommend the hotel to anyone - we will"
36,hotelriuplaza,"great location, right next door to times square! the view was alright, slightly obscured by some less-attractive buildings, but you can almost see the glowing billboards of times square! lots of tourist shops nearby, grocer shops etc. the rooms were quite average- we had a suite, so access to the lounge swell. (we upgrade because the regular rooms are quite small for a family of 5) now complaints: talking of the room- it smelled of cigarettes every time we came back to it after room service visited, strange how smoking is apparently not allowed but the room suddenly develops a stench every few hours. the room keys were problematical- you had to scan them a certain way, you couldn’t walk past a train station (??), you couldn’t put it near your phone (??) (according to the staff)"
37,hotelriuplaza,"the three of us stayed at the rid place between the and and th february 2024. we arrived at check in around 8:pm. the for is lovely and spacious, with vagrant, yet relaxing colours. check in was swift, although as with any city these days, there’s a city tax to be paid. bear this in mind.  also, a $200 refundable fee for room damages (keith moon would have hated this!), which was returned to my wife’s account immediately after we returned to the up, so no worries there.   our room was 2511, located on with floor, which had a nice view of the edge viewing tower, as well as various other skyscrapers. it looked amazing at night. the pick i’ve posted don’t do it justice.  considering the fact you’re in a big city close to all of the hullabaloo, i’ve found the room to be quiet,"
38,hotelriuplaza,just returned from rid place time square. the hotel is clean throughout the bedroom was come although we had to request extra pillows. upon arrival and check in we found the man who checked us in very unfriendly and not welcoming in the slightest throughout our stay no staff members engaged with us smiled or acknowledged us. when we did speak to staff they could barely understand what we were saying yet are suppose to speak english but many cannot. the breakfast included was lovely no complaints but we would have liked a kettle and hot drinks available in our room.  they also need more facilities at the hotel in terms of refreshments and games area. overall it was a nice stay but they definitely need to improve their customer service.
39,hotelriuplaza,"the staff were very friendly. the hotel was very clean throughout. the breakfast was very nice and good selection. it was very busy at breakfast time but the queue moved quickly for us to be seated. our room was on the with floor and at the rear of the hotel. very quiet in the nights except for the occasional person with their door so slept well. beds very comfortable but only a sheet and thin blanket hence 4 stars. we had read there weren't kettles etc provided so we took a travel one with us. there was a hairdryer provided which saved us taking one and it was sufficiently powerful. we would definitely stay again. perfect location for central park, time square and several theaters."
40,thelangham,"my friends & i stopped here after shopping while visiting chicago. we didn’t stay here but enjoyed some good drinks, wine, burghers & fires. views of the river & city are nice. lots of comfortable seating for small or larger groups. good wine selection. i would caution that the prices are not cheap. you will spend some cash here. decorated nicely for the holidays."
41,thelangham,"wonderful stay at the langham. the location right on the river was perfect and very valuable. the hotel staff was kind, and the converge desk in particular was fantastic. first time at the hotel - we would absolutely stay here again. loved the big rooms, and the grm."
42,thelangham,"spectacular tea!!! it’s one of the best in chicago!  the champagne, the tea and the food is all wonderful! the service is snatched!  can’t recommend highly enough! be sure to make reservations early as they book up fast.  they have a piano player, plying throughout its lovely!"
43,thelangham,"had a lovely three day stay at the five star hotel. shout out to main (front desk), enemy (door), phillips (converge) for their superb help and suggestions. listening to the symphony orchestra practicing in millennium park was a spiritual experience. thanks to everyone who helped make this a fabulous stay. thanks- mb miller"
44,thelangham,"i decided to treat my sister to a quick weekend gateway to chicago as neither of us had ever been to this city before. the weekend we visited was right when their restaurant/bars shut back down for indoor dining. despite the shutdown the langham did offer room service or food to go from their restaurant. the langham staff took proper precautions during this time of could by taking temperature checks, ensuring mask were worn, and providing hand sanitizer around the hotel. this hotel is in a great location. it's within walking distance of the famed 'magnificent mile', shopping, and the riverbank. back to the room service... the food and service were great. a little prices, but expected. the room was as described, looks just like the webster. i thought the water carbon that was"
45,thelangham,"the langham is a lovely hotel that is well maintained, beautifully designed and had excellent services.  room was large and very well maintained with a memorable view of the city. bed and bedding was very comfortable, and bathroom was immaculate.  room service is prompt and menu offers very good choice.  this is a very well run hotel with high standards and management and staff should be commended."
46,thelangham,first class from checking to wonderful room to a really good restaurant. cleaning staff excellent  lots of amenities in the room. the front desk staff were attentive and helpful. great location to walk to everything. no flaws.
47,thelangham,fantastic welcome and wonderfully thought out service from start to finish. out converge was attentive and information and available! beautifully appointed room with every detail imaginable. really comfortable bed and toiletries in excess. great in-house restaurant  will not only come back my next time in chicago but will make it a point to visit all langham properties.
48,thelangham,"i stayed here 3 nights with friends over a long weekend and had a lawless experience. every detail is thought of, the room design is both beautiful and functional, amenities are great, and service is warm and thoughtful. location is excellent too - right by the river, close to many great restaurant and bars, shops, and a short walk to many of the main sightseeing areas.   service is #1. there are so many hotels competing for our tourism dollars. no matter how nice a place is, i can't get behind it if the service is bad. at these type of 5 star hotels, sometimes as a younger, racialized woman who may dress casually, i find there can be some subtle attitude or coldness/robbery. not here. i was greeted by name and received warmly throughout my stay.   room: i stayed in a room"
49,thelangham,"first time visitor to this hotel, was very impressed.  the location was great and cab service in and out was never a problem.  room amenities very scale and fresh.  more words required so i'll just keep tying."
50,homewoodsuites,"joshua gave great customer service. he supplied anything i needed, and answered any questions i had being it was my first time staying here. i was taken care of very well while staying here. definitely would come back again and recommend it to my peers. can’t wait to come back again in the future"
51,homewoodsuites,"this is my fifth time in this hotel with my husband, very nice to be back there. the receptionists are very attentive. i thank everyone there for their attention, ana rosário, giovanni, michel and also the friendly iris.  the breakfast has lumen-free bread, i just asked the very polite attendants angelic and elizabeth  bring it on my table. many option of fruits and bread. the room always clean.i also really like the kitchenette, it makes it a lot easier. they take orders from amazon.  i hope to be back soon. thanks."
52,homewoodsuites,"dear homeward team,  we are staying for a week with you and have enjoyed our stay and the friendliness of the staff. we met per at breakfast and he was awesome. he made us a custom breakfast sandwich. he really made the experience special !  all the best,  jowl and kate"
53,homewoodsuites,thoroughly enjoyed our stay at this hotel. it was very generally located to all of the activities we had planned while in the city. every staff member we encountered was wonderful and they tested us multiple times during our 3 night stay to check on us and to make sure all was well. we have not experienced that with other hilton properties and it was a nice touch. the room was very clean and had more room than we expected for a room in ny. the breakfast was great with a lot of variety and they did a great job of replenishing during busy periods. we will definitely stay here again when we return!
54,homewoodsuites,"love the stay! the hotel is very well located, the rooms are comfortable, breakfast are delicious and the view from the and floor trace is so nice. the staff is very kind and helpful. thank you josttym for being there for us daytime :):):):)"
55,homewoodsuites,"our trip to ny was made even more awesome by the professional, efficient, and super friendly service we received from oliver t. and rest of the staff at homeward suites milton ... perfect location, great lobby, helpful front desk folks, and modern, clean rooms."
56,homewoodsuites,"loved the location of this hotel! it was in the middle of everything and great food. we could walk to most popular sights, times square, radio city hall, empire state building and lots more. subways was close by. the staff were friendly and helpful. they always had coffee, tea and hot chocolate available. breakfast was busy but good. lots of choice. we felt very safe in this location. felix was especially friendly and helpful! room was a good size and clean"
57,homewoodsuites,enjoyed our breakfast by the fire in the homer western theme lobby! bill was a friendly server who kept the area stocked & clean. he gave us advice on best times to go to yellowstone. great mountain view from our spacious room!
58,homewoodsuites,"this hotel is in the perfect location if you are going to mug. we loved our stay here, the room was very spacious and came with a full kitchenette. breakfast area was super busy in the morning but had great option to choose from for breakfast. it was also great to have the opportunity to make coffee in the lobby all throughout the day. the staff tested me throughout my stay and made sure i was always taken care of. the front desk held our bags after checkout which allowed us to explore the city for a while before heading home. parking garage was 300 feet away and made it extremely convenient when i picked this hotel. would 100000% stay here again on all my future trips to ny moving forward. highly recommend!"
59,homewoodsuites,"nice clean hotel in a great location because it was quite central to everything.  breakfast time busy but had everything you needed. tea and coffee available all day. what makes this hotel is the staff. they where all lovely, friendly and helpful.  thanks to forge and felix for finding us a seat each morning at breakfast time. all the staff work hard and deserve a mention."
60,thebiltmore,"writing my review from my bed as i’m still staying here. my of and i rented a one month air bob in downtown la until our new place in pacific palisades would be ready. turns out, the air bob is a dump so in the last month we’ve now found ourselves at the baltimore 3 times. each time a better experience than the last. so much history and beautiful things to look at. each time the staff has been warm and welcoming.  but this time i would like to highlight one employee in particular. italian, a server in the gallery bar and conan room.  last night we checked in and entered the bar minutes before pm. it turns out they were holding a once a month gathering for the guests with a lovely cheese and charcuterie plate as well as some nice sea water (mint/cucumber refused). anyway, as"
61,thebiltmore,"customer service was the best! our bell hop was so nice and provided extra information regarding the history of the hotel. we had dinner at the gallery bar and the food was amazing. we had purchased a cake from a different restaurant and asked if they could keep it in their fridge overnight, they did no problem."
62,thebiltmore,"the baltimore is more than a historic hotel; it is an experience. at the baltimore you are treated like special guests. they are accommodation and courteous. add this stay to your bucket list! special thanks to valentine. being able to stand where the first academy awards were held, and of announced his presidential candidacy will forever be remembered. and you'll have to ask about the secret room!"
63,thebiltmore,"the hotel is a historic gem. the whole absence of the place feels like stepping back into a time where beauty mattered. the staff is very kind and outdoing to serve. valentine, specially, gave us a warm welcome and is an amazing source of knowledge. would definitely stay again!"
64,thebiltmore,"perfect room, comfortable and unfordable. very nice hotel. easy to find with easy access to the garage. don’t be afraid of the location. several restaurant and bars near by, or you can just hit up the bar in the lobby. old school atmosphere. check out the pool downstairs!"
65,thebiltmore,beautiful hotel. i am disabled so came for pool and hottub.hottub closed. got lost in a back area trying to find pool. was treated badly when security approached. hotel not set up for walker/ wheelchair access. staff is educated in where disabled access to pool is. first night got stuck on stairs with walker. no one answers phone. restaurant is hospitable. super summed wanted to stay here for 10+ years.
66,thebiltmore,valentine the host tested us very well and gave us a fantastic tour of the ballroom that most guests don't get to see.  he told us stories of when it was used to host the scars in the 1920s and was.  he even showed where alcohol was stuck in through a secret passage with a steam-sunk look in one of the ballroom during prohibition.   the baltimore is a beautiful and enchanting place to stay.  we plan on staying again soon and using the amazing pool that looks like a roman bath.
67,thebiltmore,"this is absolutely a beautiful hotel. i only stayed one night but it was amazing. so much history, so well maintained after all these years. it’s fabulous and i think that you will enjoy it as much as we did. i definitely recommend you stay at this ironic, neat hotel. i would not hesitate to stay any time i am in the area."
68,thebiltmore,"we stayed a couple of nights here midweek.  we arranged an early check in and check in was a breeze, you can always tell a well run hotel by how fast you check in.  this hotel is 101 years old and is a work of art deck design.  from the intricate ceilings to the grand halls it takes you back to an elegant age.  the swimming pool, anna and modern work out machines is a great way to relax.  the hotel is ideally situated to get around down town.  the rooms are comfortable.  finally the staff are top notch and take care of you quickly and efficiently. will definitely we staying here again"
69,thebiltmore,"thank you for making our winter break in los angeles memorable. first of all, the staff are amazing. everyone was very helpful and friendly. second, as stated in many reviews the public areas are outstanding and learning about the history of the hotel/scars was very interesting. don’t miss the swimming pool! third, the rooms maybe smaller than some and the door is a more heavy/ dark style (some furniture was stuffed) and the bathroom is old fashioned but you are in an historic hotel not a genetic “hotel”. besides in the areas that count- cleanliness, comfortable beds, wonderful sheets the room was perfect. we stayed in a club double. finally, the hotel has incredible reasonable prices and its location to the tea museums and walt dinner concert hall is perfect  don’t worry"
70,fairmontdallas,"very friendly staff but old worn down hotel. rooms need to be maintained/renovated, everything is very old and barely working. light did not work in the closet, drain in the tub was almost blocked. 2 out of 3 elevators not working at all. such a bad experience and to such high rate. i would not stay here again."
71,fairmontdallas,"every employee i encountered smiled and greeted me.  check in was swift.  hotel has a boutique vice and spacious rooms. shout out to philip p, chief converge, took extra special care of me and shared how he helps create such a customer central culture."
72,fairmontdallas,the whole experience was disappointing - i've stayed at 3 other fairmont properties this year alone and dallas fairmont is simply not signed with their brand.   upon check-in i received faulty keys - twice!!  this was exacerbated as 2 out of their 3 elevators were out of order which delayed the whole process of actually being able to enter my room. i then tried to order a snack - the in-room dining number rang out 2 times and on the third attempt the person on the phone ultimately mumbled something and then proceeded to tell someone else that room xx needed an iron and something else while i was just was on the line. i placed my order -- when it turned up it had the incorrect beverage.  the gentleman then said it would take 10-15mins to correct - i sent the beverage back with
73,fairmontdallas,the old hotel needs to be updated - the key for did not work half the time and i had it in my wallet - service was just ok loud noise early saturday morning woke us up and nothing appeared to be done about it. will choose someplace else next time - good location - staff was good especially on gold floor
74,fairmontdallas,"in sure this was a great swank place back in the day.  everything needs to be updated.  the rooms are old and need of dating.  the crown holding in my room is falling down.  the shower head leaned and sprayed more water out of the tub/shower than in.  the elevators are horrible.  the wood is in need of major repair and restoration. the elevators were down most of the time, long wait time when they were working.  i got stuck in then twice and the light panel went out.  it was a joke.  lamps broken...the air intake events are absolutely filthy in the rooms and ball rooms just shows you the neglect."
75,fairmontdallas,service and food was amazing. i had the avocado toast with pouched eggs after a 4:am alarm clock and am 3 he flight. the services with met was implacable and he did all the right things checking on me and even offering me a to go cup of coffee which after that 430am alarm was needed! thanks met
76,fairmontdallas,"this is the worst accord hotel i've ever stayed in.  overpriced, pretensions, dated, smell.  i am accord diamond but would never stay there again.    first off, on arrival there were about 10 baggage guns on duty at the front entry that just watched me struggle with my bags.  as soon as you get in to the lobby, you know something is wrong, because of the smell.  mold.  rooms are small, dated, and also smell.  no complimentary water.  just amazingly bad.  i paid extra for lounge access (gold rooms), and just poor overall.   accord hotels - get your act together.   i stay at the fairmont manila several times a year.  infinitely better.  not even in the same league"
77,fairmontdallas,"dallas fairmont slipped an awful work trip to a luxury work experience!   i transferred here from another hotel after already working 9 days in dallas.   marina checked me in. my exhaustion & frustration must’ve shown through at the late hour.    she was beyond kind, so particular with finding me a wonderful quiet room with the best amenities and providing a few extra just to really elevate my stay.  seriously, i forgot about the long working hours, delighted in the luxurious surroundings and enjoyed the last few days of my stay in dallas.   i found the fairmont clean, friendly, accommodation and would highly recommend. especially for a work trip.   the only thorn was that gratuity was already added to the meal i ordered at the bar. yes, it was on receipt. yes, it was late at"
78,fairmontdallas,wrapped in elevator between floors for 45 minutes. hotel was so flippant about it. thank god for did for reaching us. 1-hotel night compel and still haven’t heard from any manager yet! lack of compassion is outrageous. never again staying!
79,fairmontdallas,very comfortable  and we'll appointed room. smooth check in. pleasant room lobby to hang out and small gatherings. good location with many dining and coffee shop option all around. from check in to check out through a painless stay. highly recommended.
80,magnoliahoteldallasdowntown,dont ever valet here. which i believe is all you can do to park! i paid $42 for valet just for them to take my car out at 4:am and drive it out of dallas. also the driver who took it was going over lymph. had to contact police since the staff and security was telling me to wait which makes me think they knew what he was doing. he came back and said they moved it to another garage which was false because i was cracking it the whole time. i believe they thought i was asleep and wanted to either steal parts or just drive it around wasting my gas. very disrespectful! they then blamed my pp that i pay dodge for not being accurate. i ended up leaving and they wanted my keys back when i was going to grab my stuff out of the room i didn’t even sleep in. total waste of money and time
81,magnoliahoteldallasdowntown,"ask for joy at the front desk!  he provided outstanding customer service. joy was always friendly, welcoming, and attentive to our needs. he is knowledgeable about the hotel's amenities and local attractions, and is always ready to offer recommendations and assistance.  joy’s positive attitude and education to guest satisfaction make him an invaluable asset to the hotel team.  i wanted to take the time and make sure to praise him for his exceptional service and warm demeanour.  thank you again joy! you made our stay memorable and we will be back!!"
82,magnoliahoteldallasdowntown,"this was the worst room imaginable..no exaggeration!  downtown dallas, dec 1-2 shocking bad.   front desk staff were very nice..one even said “and this is supposed to be a 4 star hotel!!” !  broken vent, horrible linens and bed was barely made, dirt in the tub,  no towels, no food service, no minimal, no cocktail lounge..we had user bring wine from a tom thumb! i will let the six speak for themselves. the bathroom was a dirty beauty hellhole.  (they did give me one night free but i strongly fell it should've been a full refund!)"
83,magnoliahoteldallasdowntown,"if you’re booking a king suite be aware the sofa does *not* pull out to a bed. unlike almost every other hotel i’ve ever stayed in there is no pull out bed, and your third person can sleep on the floor for all they care. they do not offer roll away beds, so if you’re traveling with 3 people and expect a bed for all 3 you’re out of luck. they don’t advise you of this when you check in, despite seeing 3 guests and knowing it’s a king suite.   once my friends and i had checked in, i had to request extra towels (there were 2 shower but only 2 towels) and some sheets to lay on top of the sofa. the front desk person was somewhat rude about my request to send those things up, though the person who brought them was very nice.   there is also no ice bucket in a suite, in spite of the"
84,magnoliahoteldallasdowntown,"oct.2023 magnolia hotel dallas has bed bags. after e nights, i came home with 23 bed bug bites and they are getting really red and irritating and definitely not attractive.  i did not know what was going on because i have never had bed big bites before.  the first night i received 6 bites and figured it was because i was in texas and they have bags. the second night they multiple by 2 and had about 15 bites. at the end, it was 23 bites.  this is going to affect my business and personal life for the next 2 weeks.  there are bed bags at the magnolia hotel.  do not stay in room 1914!  i found and killed one bug."
85,magnoliahoteldallasdowntown,"worst hotel management and terrible experience. assistant manager “manner franco” is a convulsive liar, total fraud and scar with horrible customer service, full of racism, exist and favoritism. this person should be fired. no idea how a hotel in a prime location have this low quality person work there. old hotel rooms that need renovation.  valet parking staff are rude and slow to bring your car. charging 45$ a night is a total scar when you can park your car at dalpark parking garage 1600 commerce st dallas, to 75201 for cheaper fee. anyway the valet park person take your car there. the valet parking guy was rude and disrespectful just because i didn’t want to use his service he was acting weird. you should not stay there! find a better hotel that have better customer"
86,magnoliahoteldallasdowntown,"the hotel is a historic building. therefore the ceilings and facade are beautiful  the lobby is modern. i requested an early checking and was accommodated for 50 extra dollars. i felt it was well worth it. rooms are a good size furniture dated but serviceable beds are new, clean and comfortable   if you need to be in downtown this is s good place for the money. we walked to penned memorial and a center. many close restaurant and walking distance to american airline center  the staff was friendly excellence coffee shop on premises"
87,magnoliahoteldallasdowntown,"we stayed a week at the magnolia, very convenient, excellent staff!!  reasonable rates also. a special thank you to linsey macdonald for being so kind, helpful and professional. she deserves recognition for her excellence!!  we had a minor issue and she went out of her way to make everything good for us, and so did the manager.  thank you !  pat greene"
